complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified as Flooding/Urgent based on description containing ""flood"", ""Ambulance"".",
GH-202402,Flooding,Standard,"Classified as Flooding/Standard based on description containing ""flood"".",
GH-202406,Other,Low,"Classified as Other/Low based on description containing ""Main stormwater drain 100% blocked with constructi"".",
GH-202407,Drain Blockage,Standard,"Classified as Drain Blockage/Standard based on description containing ""Drain block"".",
GH-202410,Pothole,Standard,"Classified as Pothole/Standard based on description containing ""Pothole"", ""Pothole"".",
GH-202411,Pothole,Standard,"Classified as Pothole/Standard based on description containing ""Pothole"", ""Pothole"".",
GH-202412,Pothole,Urgent,"Classified as Pothole/Urgent based on description containing ""pothole"", ""pothole"", ""School"".",
GH-202417,Heritage Damage,Standard,"Classified as Heritage Damage/Standard based on description containing ""Heritage"".",NEEDS_REVIEW
GH-202420,Other,Low,"Classified as Other/Low based on description containing ""Construction drilling from 5am daily near resident"".",
GH-202422,Other,Low,"Classified as Other/Low based on description containing ""Road collapsed partially. Crater 1m deep near resi"".",
GH-202424,Flooding,Standard,"Classified as Flooding/Standard based on description containing ""flood"".",
GH-202428,Waste,Standard,"Classified as Waste/Standard based on description containing ""waste"".",
GH-202432,Other,Low,"Classified as Other/Low based on description containing ""24hr supermarket delivery trucks idling with engin"".",
GH-202448,Drain Blockage,Standard,"Classified as Drain Blockage/Standard based on description containing ""drain block"".",NEEDS_REVIEW
GH-202438,Other,Low,"Classified as Other/Low based on description containing ""Colony surrounded by fields that channel rainwater"".",
