complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"Classified as Pothole/Standard based on description containing ""pothole"", ""pothole"".",
PM-202402,Pothole,Urgent,"Classified as Pothole/Urgent based on description containing ""pothole"", ""pothole"", ""School"".",
PM-202406,Flooding,Standard,"Classified as Flooding/Standard based on description containing ""flood"", ""stranded"".",
PM-202408,Drain Blockage,Standard,"Classified as Drain Blockage/Standard based on description containing ""Drain block"".",NEEDS_REVIEW
PM-202410,Streetlight,Standard,"Classified as Streetlight/Standard based on description containing ""streetlight"", ""streetlight"".",
PM-202411,Streetlight,Urgent,"Classified as Streetlight/Urgent based on description containing ""Streetlight"", ""Streetlight"", ""hazard"".",
PM-202413,Waste,Standard,"Classified as Waste/Standard based on description containing ""garbage"", ""Overflowing garbage bin"".",
PM-202418,Noise,Standard,"Classified as Noise/Standard based on description containing ""music past midnight"".",
PM-202419,Road Damage,Standard,"Classified as Road Damage/Standard based on description containing ""Road surface"", ""crack"".",
PM-202420,Drain Blockage,Urgent,"Classified as Drain Blockage/Urgent based on description containing ""Manhole"", ""injury"".",
PM-202427,Flooding,Standard,"Classified as Flooding/Standard based on description containing ""flood"".",
PM-202428,Waste,Standard,"Classified as Waste/Standard based on description containing ""Dead animal"", ""not removed"".",
PM-202430,Heritage Damage,Standard,"Classified as Heritage Damage/Standard based on description containing ""Heritage"".",NEEDS_REVIEW
PM-202433,Waste,Standard,"Classified as Waste/Standard based on description containing ""waste"", ""dumped"".",
PM-202446,Road Damage,Urgent,"Classified as Road Damage/Urgent based on description containing ""Footpath tiles broken"", ""tiles broken"", ""fell"".",
