complaint_id,category,priority,reason,flag
KM-202401,Heritage Damage,Standard,"Classified as Heritage Damage/Standard based on description containing ""Heritage"".",NEEDS_REVIEW
KM-202402,Other,Low,"Classified as Other/Low based on description containing ""Historic tram road cobblestones broken up by cable"".",
KM-202405,Other,Low,"Classified as Other/Low based on description containing ""Wedding band playing near Tagore Museum at 11pm. F"".",
KM-202409,Pothole,Standard,"Classified as Pothole/Standard based on description containing ""pothole"", ""pothole"".",
KM-202410,Pothole,Standard,"Classified as Pothole/Standard based on description containing ""Pothole"", ""Pothole"".",
KM-202411,Pothole,Standard,"Classified as Pothole/Standard based on description containing ""pothole"", ""pothole"".",
KM-202415,Other,Low,"Classified as Other/Low based on description containing ""New residential complex draining directly onto pub"".",
KM-202418,Waste,Standard,"Classified as Waste/Standard based on description containing ""waste"".",
KM-202421,Road Damage,Urgent,"Classified as Road Damage/Urgent based on description containing ""sinking"", ""Footpath broken"", ""Hospital"", ""fell"".",
KM-202422,Road Damage,Standard,"Classified as Road Damage/Standard based on description containing ""Road surface"".",
KM-202426,Heritage Damage,Standard,"Classified as Heritage Damage/Standard based on description containing ""Heritage"".",
KM-202430,Waste,Standard,"Classified as Waste/Standard based on description containing ""smell"".",
KM-202434,Heritage Damage,Standard,"Classified as Heritage Damage/Standard based on description containing ""heritage"".",
KM-202436,Other,Low,"Classified as Other/Low based on description containing ""Entire colony substation tripped. Darkness for 3 n"".",
KM-202438,Heritage Damage,Standard,"Classified as Heritage Damage/Standard based on description containing ""heritage"".",
